-2.23623e-19 	0.517252 	-5.42596e-18 	1 	0 	0
-2.23623e-19 	0.553139 	-1.06659e-17 	1 	0 	0
-2.23623e-19 	0.591898 	-1.65977e-17 	1 	0 	0
-2.23623e-19 	0.63376 	-1.80173e-17 	1 	0 	0
-2.23623e-19 	0.678974 	-1.80472e-17 	1 	0 	0
-2.23623e-19 	0.727807 	-2.29326e-17 	1 	0 	0
-2.23623e-19 	0.780551 	-2.64285e-17 	1 	0 	0
-2.23623e-19 	0.837516 	-2.92289e-17 	1 	0 	0
-2.23623e-19 	0.899043 	-3.09869e-17 	1 	0 	0
-2.23623e-19 	0.965495 	-3.10088e-17 	1 	0 	0
-2.23623e-19 	1.02298 	-2.95609e-17 	1 	0 	0
-2.23623e-19 	1.07007 	-2.67147e-17 	1 	0 	0
-2.23623e-19 	1.11946 	-2.63678e-17 	1 	0 	0
-2.23623e-19 	1.17128 	-2.77556e-17 	1 	0 	0
-2.23623e-19 	1.22563 	-2.70617e-17 	1 	0 	0
-2.23623e-19 	1.28264 	-2.46331e-17 	1 	0 	0
-2.23623e-19 	1.34244 	-2.42861e-17 	1 	0 	0
-2.23623e-19 	1.40517 	-2.84495e-17 	1 	0 	0
-2.23623e-19 	1.47098 	-3.1225e-17 	1 	0 	0
-2.23623e-19 	1.54 	-3.1225e-17 	1 	0 	0
-2.23623e-19 	1.6124 	-3.01842e-17 	1 	0 	0
-2.23623e-19 	1.68835 	-2.91434e-17 	1 	0 	0
-2.23623e-19 	1.76802 	-2.60209e-17 	1 	0 	0
-2.23623e-19 	1.85159 	-2.25514e-17 	1 	0 	0
-2.23623e-19 	1.93925 	-2.28983e-17 	1 	0 	0
-2.23623e-19 	2.0312 	-2.498e-17 	1 	0 	0
-2.23623e-19 	2.12766 	-2.91434e-17 	1 	0 	0
-2.23623e-19 	2.22884 	-3.1572e-17 	1 	0 	0
-2.23623e-19 	2.33497 	-3.19189e-17 	1 	0 	0
-2.23623e-19 	2.4463 	-3.26128e-17 	1 	0 	0
-2.23623e-19 	2.56308 	-3.40006e-17 	1 	0 	0
-2.23623e-19 	2.68558 	-3.43475e-17 	1 	0 	0
-2.23623e-19 	2.81408 	-3.1572e-17 	1 	0 	0
-2.23623e-19 	2.94887 	-2.98372e-17 	1 	0 	0
-2.23623e-19 	3.09025 	-3.01842e-17 	1 	0 	0
-2.23623e-19 	3.23856 	-3.01842e-17 	1 	0 	0
-2.23623e-19 	3.39414 	-2.84495e-17 	1 	0 	0
